document_id,filename,title,source,confidence,needs_review
14b447aa995bb919,000342.pdf,Board Coverage Decision 08-37,pdf_metadata,high,no
907d3db62fb4a731,000344.pdf,U.S. Marshals Service FALCON 2008,pdf_metadata,high,no
b2cd28c25c2c9d7b,000346.pdf,FALCON 15 - Inigo Varguez Felix,pdf_metadata,high,no
45009c70fad99b8d,000350.pdf,GOVERNMENT -V- CHARLES FELIX,pdf_metadata,high,no
728f34a85f637211,000351.pdf,Gertrude Clarke Whittall Foundation Collection / Mendelssohn Collection [finding aid],pdf_metadata,high,no
28c32f76b3fc81d4,000352.pdf,New San Juan SLR Station In Argentina,pdf_metadata,high,no
3ff5d64698f58a7a,000359.pdf,"Y/LB-16,123, Rev. 1, NMIS with Gamma Spectrometry for Attributes of Pu and HEU, Explosives and Chemical Agents",pdf_metadata,high,no
803f76e7640ba433,000362.pdf,Comment Letter,pdf_metadata,high,no
9e09e33ee5b3d380,000365.pdf,Census 2000 Profiles,pdf_metadata,high,no
4e10a486a034cb74,000366.pdf,Latin America and the Caribbean - Hurricane Season 2007 #5,pdf_metadata,high,no
3765b5485849ee57,000367.pdf,Latin America and the Caribbean - Hurricane Season 2007,pdf_metadata,high,no
5c283d48083d61c3,000372.pdf,07_08 2003 ISN,pdf_metadata,high,no
f61c756ffdefc16b,000379.pdf,Лихорадка Западного Нила: что необходимо знать,pdf_metadata,high,no
35c1acd5cae5a9d1,000381.pdf,RUSSIAN WILDRYE,pdf_metadata,high,no
077bbf325240285f,000547.pdf,Presentation to Shri Manishankar Aiyer Hon. Minister of Petroleum & Natural Gas Govt. of India,pdf_metadata,high,no
ab8a480f48cbc942,000567.pdf,Decatur County,pdf_metadata,high,no
e03fb6c45305fb13,000588.pdf,Amber Waves April 2003-Finding-ERS Lauches Invasive Species Initiative,pdf_metadata,high,no
9c734e4097e74ec1,000589.pdf,"Amicus Brief - Iowa, et al.",pdf_metadata,high,no
c6e1645d0f81dc1b,000591.pdf,AWC IFFDP Document 6443,pdf_metadata,high,no
75c9995a5dff1f93,000596.pdf,Pacific Northwest Gasoline and Diesel Fuel Prices Investigation FTC File No. 071-0163,pdf_metadata,high,no
19dfc9b651f4c603,000606.pdf,Intermountain Health Care/McKay-Dee Hospital Center,pdf_metadata,high,no
7ae3e61af663ae80,000610.pdf,Intermountain Health Care - McKay-Dee Hospital Center,pdf_metadata,high,no
8b9839eb4a35aac0,000618.pdf,Employment in business services: a year of unprecedented decline,pdf_metadata,high,no
3350fb543b97878b,000629.pdf,U.S. and International Responses to the Global Spread of Avian Flu: Issues for Congress,pdf_metadata,high,no
bb4435c3c431f5b6,000630.pdf,U.S. and International Responses to the Global Spread of Avian Flu: Issues for Congress,pdf_metadata,high,no
94627554f72327eb,000631.pdf,U.S. and International Responses to the Global Spread of Avian Flu: Issues for Congress,pdf_metadata,high,no
d105f0e9c51f20c7,000671.pdf,"Bark beetles, fuels, fires and implications for forest management in the Intermountain West",pdf_outline,medium,yes
5370aa31c1baee8c,000746.pdf,In the matter of the Petition,pdf_metadata,high,no
3683a7c0e58dfa37,000748.pdf,Simple Machines Robotics Competition,pdf_metadata,high,no
3ca73e1072f8fcad,000750.pdf,PowerPoint Presentation,pdf_metadata,high,no
96a80f28f8366209,000751.pdf,PowerPoint Presentation,pdf_metadata,high,no
a8db2468aba38ae3,000755.pdf,CSSCD p2A Echo Codebook,pdf_metadata,high,no
9d275f584df04e2c,000757.pdf,"Cultural Resources Evaluation of the Northern Gulf of Mexico Continental Shelf, Volume I: Prehistoric Cultural Resource Potential, Volume II: Historical Cultural Resources, and Volume III: Maps",pdf_metadata,high,no
b19ae4b2c5dd66c7,000770.pdf,U.S. v. Jordan,pdf_metadata,high,no
13552b69646b840a,000809.pdf,"US EPA, OPP Child Resistant Packaging Rexam Closures and Containers",pdf_metadata,high,no
9b2a97177dec2615,000813.pdf,"The Commercial Storage of Fruits, Vegetables, and",pdf_metadata,high,no
b3eba9bc82a22181,000816.pdf,Manufacturing and Mining - Numerical List of Manufactured and Mineral Products,pdf_metadata,high,no
f4d66338663f5b17,000817.pdf,Fit Explorer Mission Handout - Mission: Control!,pdf_metadata,high,no
5a9b2861080e05b5,000818.pdf,Manufacturing - Numerical List of Manufactured and Mineral Products,pdf_metadata,high,no
537b600fbc4fd62e,000826.pdf,SECTION 7 TIMELINES,pdf_outline,medium,yes
360c4b5831721c44,000838.pdf,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,pdf_metadata,high,no
397c7124dfcf06d0,000839.pdf,Examination of surface roughness on light scattering by long ice columns by use of a two-dimensional finite-difference time-domain algorithm,pdf_metadata,high,no
dc1c4231853496f8,000843.pdf,PRELIMINARY COMMENTS BY AMERICAN SUPERCONDUCTOR,pdf_metadata,high,no
805dd57efabed650,000853.pdf,FY2005 Progress Report for Automotive Lightweighting Materials - 3A. Low-Cost Carbon Fibers from Renewable Resources,pdf_metadata,high,no
645c314469427544,000854.pdf,FY2006 Progress Report for Automotive Lightweighting Materials - 3a. Low-Cost Carbon Fiber from Renewable Resources,pdf_metadata,high,no
c32303914b3984b7,000859.pdf,3.4 Fast-Response Isotopic Alpha Continuous Air Monitor,pdf_metadata,high,no
aa9cc44bd065d9e0,000882.pdf,Untitled Document,pdf_metadata,high,no
3fe17da6c478f010,000885.pdf,Global Trenes in Marine Protected Areas,pdf_metadata,high,no
f1c250fa02fa8e74,000887.pdf,Renewable Energy Annual 1995,pdf_metadata,high,no
76a42584e2a02ed9,000899.pdf,"The Commercial Storage of Fruits, Vegetables, and",pdf_metadata,high,no
0af064f7a2c06ccc,000901.pdf,"Docket No. 98-0672, Patterson Drilling Company",pdf_metadata,high,no
ad00672e827884d4,000955.pdf,"NASD: Preventing Injuries from Slips, Trips and Falls",pdf_metadata,high,no
